ttop, rate
5000, 12.300000
5040, 13.300000
5080, 11.400000
5120, 11.500000
5160, 13.400000
5200, 10.900000
5240, 9.800000
5280, 6.800000
5320, 5.700000
5360, 3.800000
5400, 2.800000
5440, 0.700000
5480, 1.300000
5520, 0.600000
5560, 0.500000
5600, 0.700000
5640, 0.500000
5680, 0.700000
5720, 0.900000
5760, 0.300000
5800, 0.900000
5840, 0.600000
5880, 1.300000
5920, 0.600000
5960, 0.600000
6000, 1.200000
6040, 1.100000
6080, 0.800000
6120, 1.100000
6160, 0.900000
6200, 0.800000
6240, 1.200000
6280, 0.900000
6320, 1.400000
6360, 1.800000
6400, 2.200000
6440, 2.700000
6480, 1.500000
6520, 1.600000
6560, 2.500000
6600, 2.500000
6640, 2.500000
6680, 3.300000
6720, 3.900000
6760, 4.100000
6800, 2.600000
6840, 2.400000
6880, 3.100000
6920, 4.300000
6960, 2.700000
7000, 3.800000
7040, 4.400000
7080, 3.400000
7120, 3.900000
7160, 4.400000
7200, 3.400000
7240, 5.300000
7280, 4.600000
7320, 4.800000
7360, 4.700000
7400, 4.600000
7440, 5.900000
7480, 5.200000
7520, 5.500000
7560, 5.600000
7600, 7.100000
7640, 5.900000
7680, 6.400000
7720, 6.500000
7760, 6.100000
7800, 5.800000
7840, 7.900000
7880, 7.000000
7920, 6.400000
7960, 6.900000
8000, 8.800000
8040, 9.100000
8080, 6.500000
8120, 7.400000
8160, 9.500000
8200, 11.800000
8240, 20.100000
8280, 21.900000
8320, 23.100000
8360, 25.100000
8400, 22.900000
8440, 23.100000
8480, 20.800000
8520, 19.600000
8560, 18.400000
8600, 18.900000
8640, 26.600000
8680, 21.300000
8720, 20.900000
8760, 19.300000
8800, 19.100000
8840, 21.100000
8880, 22.600000
8920, 20.900000
8960, 20.700000
9000, 20.600000
9040, 21.100000
