ttop, rate
5000,3.7
5040,3.1
5080,2.4
5120,2.4
5160,2.7
5200,2.4
5240,1.6
5280,1.3
5320,0.3
5360,0.4
5400,0.5
5440,0.3
5480,0.2
5520,0.1
5560,0.1
5600,0.1
5640,0
5680,0
5720,0.3
5760,0.6
5800,0
5840,0
5880,0.1
5920,0.1
5960,0.1
6000,0.4
6040,0.2
6080,0.1
6120,0.3
6160,0.3
6200,0
6240,0.1
6280,0.3
6320,0.5
6360,0.3
6400,0.3
6440,0
6480,0.3
6520,0.3
6560,0.2
6600,0.2
6640,0.3
6680,0.4
6720,0.1
6760,0.5
6800,0.2
6840,0.3
6880,0.5
6920,0.1
6960,0
7000,0.6
7040,0.4
7080,1.1
7120,0.8
7160,0.9
7200,1
7240,1.1
7280,0.7
7320,1.1
7360,1.1
7400,1.6
7440,1.7
7480,1
7520,0.7
7560,1.2
7600,0.8
7640,2
7680,1.2
7720,1.5
7760,1.9
7800,1.7
7840,1.4
7880,1.6
7920,2.4
7960,2.5
8000,2.3
8040,2.5
8080,2.6
8120,2.4
8160,1.4
8200,4.4
8240,5.5
8280,5
8320,5.5
8360,5.3
8400,6.1
8440,5.2
8480,6.5
8520,6.8
8560,5.9
8600,5.6
8640,7.3
8680,3.9
8720,5.3
8760,5.4
8800,6.6
8840,4.6
8880,6.6
8920,6.4
8960,4.7
9000,6.6
9040,6.6
