ttop, rate
5000, 0.000000
5040, 0.100000
5080, 0.200000
5120, 0.300000
5160, 0.700000
5200, 1.000000
5240, 0.600000
5280, 1.200000
5320, 0.600000
5360, 1.300000
5400, 1.500000
5440, 2.600000
5480, 1.400000
5520, 1.500000
5560, 2.100000
5600, 1.800000
5640, 2.800000
5680, 2.500000
5720, 4.000000
5760, 2.300000
5800, 3.300000
5840, 3.700000
5880, 3.300000
5920, 2.600000
5960, 3.300000
6000, 4.400000
6040, 3.300000
6080, 3.800000
6120, 2.900000
6160, 3.700000
6200, 4.400000
6240, 4.000000
6280, 3.700000
6320, 3.700000
6360, 4.400000
6400, 4.800000
6440, 4.000000
6480, 5.500000
6520, 5.600000
6560, 4.100000
6600, 5.500000
6640, 4.800000
6680, 4.400000
6720, 5.200000
6760, 5.000000
6800, 5.600000
6840, 6.100000
6880, 5.600000
6920, 7.100000
6960, 5.100000
7000, 5.200000
7040, 6.300000
7080, 6.300000
7120, 7.400000
7160, 4.800000
7200, 6.700000
7240, 7.900000
7280, 5.400000
7320, 6.800000
7360, 5.500000
7400, 6.900000
7440, 5.900000
7480, 7.000000
7520, 7.200000
7560, 5.300000
7600, 6.200000
7640, 5.700000
7680, 6.400000
7720, 6.600000
7760, 5.300000
7800, 7.200000
7840, 7.600000
7880, 8.100000
7920, 8.200000
7960, 6.900000
8000, 6.600000
8040, 7.200000
8080, 8.600000
8120, 8.000000
8160, 7.600000
8200, 39.500000
8240, 112.800000
8280, 119.400000
8320, 108.100000
8360, 116.900000
8400, 124.200000
8440, 107.900000
8480, 120.400000
8520, 113.500000
8560, 111.900000
8600, 110.500000
8640, 112.300000
8680, 117.500000
8720, 118.200000
8760, 103.400000
8800, 104.600000
8840, 112.300000
8880, 124.100000
8920, 115.100000
8960, 115.100000
9000, 107.800000
9040, 106.600000
