ttop, rate
5000,116.1
5040,112.4
5080,105.1
5120,117.9
5160,112.2
5200,104
5240,115.1
5280,108.7
5320,121.3
5360,106
5400,113.5
5440,111.6
5480,110.3
5520,114.8
5560,102.3
5600,114.1
5640,112.3
5680,103.8
5720,104.1
5760,107.5
5800,111.3
5840,112.2
5880,115.6
5920,106.5
5960,115.3
6000,115.5
6040,116.2
6080,110.4
6120,111
6160,118
6200,106
6240,122.1
6280,103.8
6320,110.6
6360,111.1
6400,112.6
6440,108.7
6480,119.5
6520,111.8
6560,111.1
6600,110
6640,115.9
6680,105.2
6720,113.2
6760,110.4
6800,112
6840,102.8
6880,113.5
6920,117.2
6960,112.1
7000,116.7
7040,115
7080,113.3
7120,111.7
7160,114.9
7200,113.5
7240,108.6
7280,106.9
7320,111.4
7360,121.5
7400,112.4
7440,109.1
7480,116.1
7520,115.4
7560,112.1
7600,123.8
7640,112.9
7680,118.1
7720,111.7
7760,116.1
7800,111.7
7840,102.3
7880,112.4
7920,113.7
7960,107.5
8000,106.1
8040,116.4
8080,110.9
8120,118.3
8160,118.2
8200,113.8
8240,111.7
8280,123.4
8320,112.2
8360,115.8
8400,111.2
8440,129
8480,117.7
8520,117.7
8560,114.6
8600,121
8640,120
8680,112
8720,121.4
8760,124.2
8800,114.9
8840,111.4
8880,116.7
8920,112.4
8960,112.1
9000,116.8
9040,112.4
