treshold, rate
0, 75936.600000
180, 114883.800000
360, 55662.100000
540, 51204.700000
720, 44070.100000
900, 36062.200000
1080, 22018.400000
1260, 17284.000000
1440, 15009.000000
1620, 12800.400000
1800, 10861.200000
1980, 8554.800000
2160, 4840.700000
2340, 2748.600000
2520, 1983.200000
2700, 1382.700000
2880, 634.100000
3060, 239.700000
3240, 171.200000
3420, 150.200000
3600, 122.300000
3780, 104.700000
3960, 98.300000
4140, 80.600000
4320, 85.900000
4500, 79.200000
4680, 83.400000
4860, 81.900000
5040, 79.200000
5220, 78.000000
5400, 77.100000
5580, 80.600000
5760, 76.700000
5940, 82.800000
6120, 71.800000
6300, 69.600000
6480, 73.100000
6660, 71.700000
6840, 71.200000
7020, 75.400000
7200, 76.300000
7380, 69.700000
7560, 72.700000
7740, 65.100000
7920, 70.300000
8100, 73.300000
8280, 71.000000
8460, 68.600000
8640, 72.700000
8820, 71.300000
9000, 71.600000
9180, 72.800000
9360, 68.200000
9540, 71.700000
9720, 77.400000
9900, 70.300000
10080, 72.400000
10260, 66.200000
10440, 66.000000
10620, 70.900000
10800, 65.900000
10980, 67.900000
11160, 71.900000
11340, 68.300000
11520, 69.800000
11700, 64.900000
11880, 68.900000
12060, 64.500000
12240, 63.600000
12420, 70.500000
12600, 70.000000
12780, 63.100000
12960, 71.200000
13140, 66.200000
13320, 68.000000
13500, 71.000000
13680, 70.900000
13860, 70.700000
14040, 71.700000
14220, 68.000000
14400, 66.000000
14580, 65.100000
14760, 69.600000
14940, 64.800000
15120, 66.200000
15300, 69.700000
15480, 65.000000
15660, 62.400000
15840, 65.700000
16020, 66.600000
16200, 46.500000
16380, 0.000000
16560, 0.000000
16740, 0.000000
16920, 0.000000
17100, 0.000000
17280, 0.000000
17460, 0.000000
17640, 0.000000
17820, 0.000000
