treshold, rate
150, 6131.500000
153, 30857.400000
156, 57415.600000
159, 56950.400000
162, 56784.200000
165, 56852.500000
168, 56679.800000
171, 56893.300000
174, 56714.000000
177, 56616.900000
180, 56585.400000
183, 56662.400000
186, 56667.100000
189, 56680.500000
192, 56578.600000
195, 56442.500000
198, 56540.900000
201, 56392.200000
204, 56509.300000
207, 56312.500000
210, 56205.200000
213, 56065.000000
216, 56262.900000
219, 56241.900000
222, 56033.900000
225, 56010.400000
228, 55890.200000
231, 55798.400000
234, 55726.000000
237, 55793.500000
240, 55698.300000
243, 55870.800000
246, 55720.200000
249, 55673.900000
252, 55410.100000
255, 55626.400000
258, 55621.800000
261, 55399.000000
264, 55499.700000
267, 55345.800000
270, 55209.600000
273, 55234.000000
276, 55030.500000
279, 55076.700000
282, 54996.100000
285, 54807.900000
288, 54874.400000
291, 54780.300000
294, 54641.200000
297, 54743.400000
300, 54758.500000
303, 54494.000000
306, 54274.300000
309, 54130.900000
312, 54208.300000
315, 54252.900000
318, 54087.000000
321, 53892.200000
324, 53984.500000
327, 53644.500000
330, 53732.300000
333, 53606.900000
336, 53482.300000
339, 53443.200000
342, 53251.000000
345, 53182.900000
348, 53071.300000
351, 53087.000000
354, 52931.500000
357, 52843.200000
360, 52689.300000
363, 52543.300000
366, 52350.100000
369, 52454.300000
372, 52259.900000
375, 52109.700000
378, 51906.600000
381, 52001.000000
384, 51848.200000
387, 51685.000000
390, 51605.800000
393, 51465.000000
396, 51327.500000
399, 51058.500000
402, 51091.500000
405, 50841.900000
408, 50799.500000
411, 50607.800000
414, 50555.600000
417, 50477.600000
420, 50317.000000
423, 50122.200000
426, 49952.600000
429, 49889.900000
432, 49731.600000
435, 49613.300000
438, 49330.000000
441, 49297.300000
444, 49271.700000
447, 49050.400000
450, 48915.800000
453, 48983.600000
456, 48761.100000
459, 48526.600000
462, 48455.700000
465, 48214.700000
468, 48224.100000
471, 48121.100000
474, 47955.900000
477, 47723.200000
480, 47693.900000
483, 47431.800000
486, 47474.500000
489, 47368.400000
492, 47126.500000
495, 47094.600000
498, 46800.800000
501, 46747.300000
504, 46759.100000
507, 46545.600000
510, 46348.400000
513, 46300.300000
516, 46292.000000
519, 45934.300000
522, 45816.100000
525, 45727.400000
528, 45725.900000
531, 45513.100000
534, 45354.700000
537, 45193.100000
540, 45080.500000
543, 45018.500000
546, 44949.900000
549, 44771.800000
552, 44680.900000
555, 44466.800000
558, 44356.000000
561, 44384.700000
564, 44397.800000
567, 44275.200000
570, 44161.000000
573, 43881.700000
576, 43922.300000
579, 43734.100000
582, 43653.100000
585, 43688.900000
588, 43598.000000
591, 43343.300000
594, 43202.400000
597, 43185.600000
600, 43011.700000
603, 43072.600000
606, 42863.100000
609, 42719.600000
612, 42780.800000
615, 42543.200000
618, 42553.800000
621, 42318.200000
624, 42452.800000
627, 42198.600000
630, 42204.300000
633, 42091.900000
636, 42108.700000
639, 41938.800000
642, 41849.800000
645, 41792.400000
648, 41672.300000
651, 41701.500000
654, 41475.600000
657, 41585.200000
660, 41447.700000
663, 41323.000000
666, 41272.900000
669, 41167.900000
672, 41152.200000
675, 41021.800000
678, 40971.600000
681, 40803.300000
684, 40782.800000
687, 40772.600000
690, 40701.800000
693, 40512.800000
696, 40490.700000
699, 40424.800000
702, 40232.300000
705, 40032.900000
708, 40080.100000
711, 40096.500000
714, 39981.200000
717, 39934.000000
720, 39681.700000
723, 39610.400000
726, 39622.100000
729, 39412.500000
732, 39369.600000
735, 39337.500000
738, 39116.500000
741, 38937.500000
744, 38858.900000
747, 38685.400000
750, 38648.600000
753, 38406.100000
756, 38338.000000
759, 38077.900000
762, 38068.600000
765, 37721.100000
768, 37658.300000
771, 37339.600000
774, 37158.200000
777, 36886.400000
780, 36537.900000
783, 36394.000000
786, 36109.200000
789, 35914.900000
792, 35386.900000
795, 35168.700000
798, 34964.300000
801, 34491.200000
804, 34336.700000
807, 33804.100000
810, 33424.200000
813, 33172.800000
816, 32753.200000
819, 32390.300000
822, 31904.200000
825, 31635.500000
828, 31116.000000
831, 30871.200000
834, 30333.100000
837, 29927.500000
840, 29569.600000
843, 29119.000000
846, 28738.400000
849, 28354.100000
852, 27919.700000
855, 27587.900000
858, 27195.900000
861, 26726.100000
864, 26435.800000
867, 26005.900000
870, 25792.600000
873, 25362.900000
876, 24860.600000
879, 24622.000000
882, 24401.100000
885, 24190.500000
888, 23898.300000
891, 23602.400000
894, 23304.400000
897, 23052.600000
900, 22893.300000
903, 22580.500000
906, 22497.700000
909, 22214.400000
912, 21992.100000
915, 21850.900000
918, 21603.100000
921, 21385.300000
924, 21195.200000
927, 21096.900000
930, 20965.100000
933, 20776.700000
936, 20644.800000
