top, rate
6419, 62.700000
6479, 0.000000
6539, 0.100000
6599, 0.300000
6659, 0.200000
6719, 1.000000
6779, 0.700000
6839, 0.300000
6899, 1.000000
6959, 0.600000
7019, 1.000000
7079, 1.000000
7139, 0.600000
7199, 1.800000
7259, 1.700000
7319, 1.600000
7379, 1.000000
7439, 1.800000
7499, 1.700000
7559, 1.300000
7619, 1.500000
7679, 1.500000
7739, 2.100000
7799, 2.700000
7859, 2.400000
7919, 3.000000
7979, 3.400000
8039, 3.000000
8099, 3.700000
8159, 3.100000
8219, 3.400000
8279, 2.200000
8339, 2.900000
8399, 2.300000
8459, 2.300000
8519, 3.500000
8579, 3.100000
8639, 4.600000
8699, 3.100000
8759, 4.500000
8819, 3.200000
8879, 4.000000
8939, 4.300000
8999, 4.700000
9059, 3.300000
9119, 4.500000
9179, 4.200000
9239, 6.000000
9299, 6.100000
9359, 6.400000
9419, 5.000000
9479, 4.700000
9539, 5.800000
9599, 3.600000
9659, 5.000000
9719, 4.300000
9779, 4.200000
9839, 6.800000
9899, 5.000000
9959, 4.100000
10019, 4.200000
10079, 5.200000
10139, 5.500000
10199, 4.300000
10259, 5.300000
10319, 3.900000
10379, 6.100000
10439, 4.700000
10499, 6.600000
10559, 4.600000
10619, 5.900000
10679, 6.200000
10739, 5.300000
10799, 6.200000
10859, 4.700000
10919, 5.800000
10979, 4.900000
11039, 6.200000
11099, 6.900000
11159, 6.300000
11219, 6.000000
11279, 6.000000
11339, 4.600000
11399, 7.300000
11459, 7.900000
11519, 8.100000
11579, 6.500000
11639, 6.800000
11699, 7.000000
11759, 7.500000
11819, 4.800000
11879, 7.100000
11939, 5.800000
11999, 7.900000
12059, 6.100000
12119, 7.700000
12179, 5.900000
12239, 5.800000
12299, 7.800000
12359, 6.200000
12419, 6.400000
12479, 5.800000
12539, 6.600000
12599, 7.100000
12659, 7.600000
12719, 7.400000
12779, 8.000000
12839, 6.500000
12899, 6.700000
12959, 7.200000
13019, 6.100000
13079, 8.600000
13139, 6.800000
13199, 6.600000
13259, 7.000000
13319, 7.900000
13379, 7.700000
13439, 7.400000
13499, 7.900000
13559, 7.700000
13619, 8.600000
13679, 8.100000
13739, 9.000000
13799, 8.400000
13859, 7.600000
13919, 10.000000
13979, 8.600000
14039, 7.300000
14099, 7.200000
14159, 8.200000
14219, 6.800000
14279, 9.600000
14339, 7.700000
14399, 8.900000
14459, 7.500000
14519, 8.600000
14579, 8.800000
14639, 7.900000
14699, 8.100000
14759, 8.000000
14819, 9.800000
14879, 8.200000
14939, 7.600000
14999, 7.200000
15059, 8.800000
15119, 8.700000
15179, 7.100000
15239, 7.400000
15299, 8.100000
15359, 9.000000
15419, 9.300000
15479, 9.200000
15539, 8.900000
15599, 7.600000
15659, 9.100000
15719, 9.700000
15779, 10.400000
15839, 8.200000
15899, 9.100000
15959, 9.000000
16019, 8.500000
16079, 7.900000
16139, 10.000000
16199, 10.100000
16259, 61.500000
16319, 61.100000
16379, 57.100000
16439, 54.900000
16499, 57.900000
16559, 61.700000
16619, 57.000000
16679, 59.300000
16739, 61.900000
16799, 62.000000
16859, 58.400000
16919, 58.900000
16979, 64.100000
17039, 57.100000
17099, 59.700000
17159, 62.700000
17219, 59.000000
17279, 65.100000
17339, 62.100000
17399, 60.800000
17459, 60.000000
17519, 59.900000
17579, 60.800000
17639, 60.100000
17699, 63.200000
17759, 59.400000
17819, 64.500000
17879, 58.000000
17939, 59.700000
17999, 59.000000
18059, 63.700000
18119, 59.200000
18179, 64.500000
18239, 60.200000
18299, 59.700000
18359, 55.200000
