top, rate
1785, 7061.500000
1865, 191.500000
1945, 1105.400000
2025, 1846.900000
2105, 2233.700000
2185, 2409.700000
2265, 2623.100000
2345, 2855.300000
2425, 2923.100000
2505, 3069.600000
2585, 3232.000000
2665, 3512.600000
2745, 3740.600000
2825, 3858.500000
2905, 3918.200000
2985, 3894.600000
3065, 3879.400000
3145, 3887.800000
3225, 3942.400000
3305, 3918.600000
3385, 3897.900000
3465, 3920.300000
3545, 3927.000000
3625, 3921.600000
3705, 3914.600000
3785, 3949.500000
3865, 3909.200000
3945, 3854.100000
4025, 3898.500000
4105, 3917.700000
4185, 3887.500000
4265, 3928.900000
4345, 3905.300000
4425, 3909.400000
4505, 3929.700000
4585, 3908.300000
4665, 3907.400000
4745, 3924.900000
4825, 3917.500000
4905, 3913.600000
4985, 3885.600000
5065, 3924.100000
5145, 3905.000000
5225, 3882.800000
5305, 3890.400000
5385, 3910.800000
5465, 3885.900000
5545, 3953.800000
5625, 3885.600000
5705, 3929.900000
5785, 3920.500000
5865, 3918.100000
5945, 3897.100000
6025, 3936.200000
6105, 3889.000000
6185, 3919.000000
6265, 3931.700000
6345, 3926.200000
6425, 3900.700000
6505, 3928.600000
6585, 3928.000000
6665, 3950.300000
6745, 3895.000000
6825, 3978.000000
6905, 3918.500000
6985, 3921.700000
7065, 3920.400000
7145, 3895.200000
7225, 3902.300000
7305, 3897.100000
7385, 3882.700000
7465, 3893.400000
7545, 3930.200000
7625, 3928.100000
7705, 3941.300000
7785, 3913.300000
7865, 3881.100000
7945, 3865.400000
8025, 3905.900000
8105, 3894.800000
8185, 3906.500000
8265, 3887.600000
8345, 3901.200000
8425, 3917.500000
8505, 3857.600000
8585, 3891.300000
8665, 3909.000000
8745, 3891.200000
8825, 3914.400000
8905, 3899.200000
8985, 3900.900000
9065, 3914.300000
9145, 3914.700000
9225, 3912.800000
9305, 3912.800000
9385, 3943.900000
9465, 3917.400000
9545, 3931.800000
9625, 3912.500000
9705, 3884.500000
9785, 3917.100000
9865, 3891.700000
9945, 3859.500000
10025, 3921.600000
10105, 3922.000000
10185, 3908.100000
10265, 3872.100000
10345, 3896.300000
10425, 3889.500000
10505, 3889.500000
10585, 3892.800000
10665, 3930.900000
10745, 3939.600000
10825, 3883.100000
10905, 3915.000000
10985, 3907.100000
11065, 3918.400000
11145, 3911.300000
11225, 3906.300000
11305, 3901.300000
11385, 3926.900000
11465, 3904.300000
11545, 3900.300000
11625, 3872.100000
11705, 3916.800000
11785, 3890.300000
11865, 3902.800000
11945, 3919.300000
12025, 3884.200000
12105, 3928.300000
12185, 3887.200000
12265, 3944.500000
12345, 3903.400000
12425, 3892.100000
12505, 3868.300000
12585, 3891.100000
12665, 3893.300000
12745, 3887.600000
12825, 3884.500000
12905, 3886.100000
12985, 3896.200000
13065, 3886.000000
13145, 3884.700000
13225, 3864.900000
13305, 3875.400000
13385, 3933.300000
13465, 3896.200000
13545, 3922.300000
13625, 3900.800000
13705, 3930.500000
13785, 3905.000000
13865, 3880.800000
13945, 3868.200000
14025, 3863.400000
14105, 3869.300000
14185, 3864.200000
14265, 3885.000000
14345, 3876.700000
14425, 3866.100000
14505, 3900.300000
14585, 3905.800000
14665, 3879.300000
14745, 3884.400000
14825, 3837.900000
14905, 3894.500000
14985, 3902.500000
15065, 3891.500000
15145, 3896.000000
15225, 3882.200000
15305, 3849.700000
15385, 3905.800000
15465, 3913.100000
15545, 3900.300000
15625, 3858.400000
15705, 3925.400000
15785, 3903.500000
15865, 3913.100000
15945, 3925.100000
16025, 3892.200000
16105, 3886.800000
16185, 3869.600000
16265, 3860.000000
16345, 3905.100000
16425, 3904.700000
16505, 3882.900000
16585, 3887.300000
16665, 3897.800000
16745, 3895.000000
16825, 3913.900000
16905, 3872.000000
16985, 3909.100000
17065, 3897.900000
17145, 3906.100000
17225, 3924.100000
17305, 3884.500000
17385, 3881.700000
17465, 3897.400000
17545, 3881.000000
17625, 3895.100000
17705, 3874.200000
