top, rate
4337, 14.400000
4497, 0.700000
4657, 1.700000
4817, 3.000000
4977, 2.700000
5137, 4.500000
5297, 4.200000
5457, 5.800000
5617, 4.700000
5777, 6.000000
5937, 6.100000
6097, 6.300000
6257, 7.600000
6417, 6.000000
6577, 8.400000
6737, 8.700000
6897, 10.800000
7057, 9.200000
7217, 8.600000
7377, 8.100000
7537, 10.300000
7697, 11.500000
7857, 10.400000
8017, 11.000000
8177, 10.300000
8337, 11.400000
8497, 12.400000
8657, 12.800000
8817, 10.800000
8977, 13.000000
9137, 10.800000
9297, 10.400000
9457, 11.300000
9617, 10.800000
9777, 12.900000
9937, 13.200000
10097, 12.700000
10257, 13.100000
10417, 12.000000
10577, 13.600000
10737, 12.000000
10897, 14.300000
11057, 12.900000
11217, 13.100000
11377, 13.300000
11537, 14.700000
11697, 13.200000
11857, 13.000000
12017, 13.700000
12177, 14.000000
12337, 15.000000
12497, 14.400000
12657, 15.200000
12817, 14.300000
12977, 14.800000
13137, 13.500000
13297, 16.000000
13457, 12.900000
13617, 14.400000
13777, 14.900000
13937, 16.100000
14097, 14.700000
14257, 14.600000
14417, 14.300000
14577, 16.900000
14737, 17.500000
14897, 13.600000
15057, 17.100000
15217, 15.200000
15377, 16.900000
15537, 14.300000
15697, 15.100000
15857, 16.100000
16017, 16.100000
16177, 15.100000
16337, 52.000000
16497, 63.200000
16657, 61.100000
16817, 64.300000
16977, 61.700000
17137, 63.700000
17297, 60.000000
17457, 60.900000
17617, 66.700000
17777, 64.100000
17937, 63.600000
18097, 62.300000
18257, 66.700000
18417, 62.600000
18577, 60.400000
18737, 64.600000
18897, 65.300000
19057, 59.400000
19217, 60.500000
19377, 59.900000
19537, 66.700000
19697, 62.800000
19857, 65.600000
20017, 61.700000
20177, 63.900000
