treshold, rate
0, 151650.200000
30, 728389.500000
60, 1285173.700000
90, 947490.400000
120, 344297.200000
150, 133519.900000
180, 75163.600000
210, 24550.700000
240, 7655.500000
270, 7303.200000
300, 6939.700000
330, 6645.600000
360, 6277.600000
390, 6012.100000
420, 5715.100000
450, 5523.900000
480, 5282.800000
510, 5099.600000
540, 4918.100000
570, 4790.900000
600, 4590.100000
630, 4453.400000
660, 4342.000000
690, 4228.500000
720, 4099.900000
750, 3923.700000
780, 3748.600000
810, 3583.600000
840, 3444.100000
870, 3289.400000
900, 3177.700000
930, 3075.400000
960, 3010.700000
990, 2890.400000
1020, 2851.400000
1050, 2774.700000
1080, 2737.900000
1110, 2644.400000
1140, 2580.400000
1170, 2544.000000
1200, 2513.600000
1230, 2429.500000
1260, 2403.800000
1290, 2357.900000
1320, 2293.000000
1350, 2235.900000
1380, 2186.700000
1410, 2142.200000
1440, 2104.100000
1470, 2069.200000
1500, 2006.400000
1530, 2000.300000
1560, 1935.700000
1590, 1901.300000
1620, 1846.400000
1650, 1817.400000
1680, 1777.000000
1710, 1732.900000
1740, 1709.900000
1770, 1682.600000
1800, 1634.500000
1830, 1601.800000
1860, 1582.500000
1890, 1537.500000
1920, 1501.300000
1950, 1488.400000
1980, 1452.400000
2010, 1410.800000
2040, 1392.100000
2070, 1376.700000
2100, 1342.500000
2130, 1319.400000
2160, 1277.800000
2190, 1257.500000
2220, 1201.700000
2250, 1178.000000
2280, 1153.100000
2310, 1155.200000
2340, 1123.000000
2370, 1086.600000
2400, 1067.700000
2430, 1063.800000
2460, 1023.800000
2490, 1013.300000
2520, 992.600000
2550, 965.000000
2580, 959.600000
2610, 956.800000
2640, 951.100000
2670, 903.600000
2700, 902.700000
2730, 887.700000
2760, 876.300000
2790, 859.400000
2820, 833.200000
2850, 827.100000
2880, 816.500000
2910, 824.700000
2940, 821.800000
2970, 780.600000
3000, 774.300000
3030, 767.500000
3060, 751.400000
3090, 738.200000
3120, 734.100000
3150, 737.600000
3180, 717.400000
3210, 704.800000
3240, 697.200000
3270, 683.500000
3300, 671.800000
3330, 674.600000
3360, 646.900000
3390, 659.200000
3420, 636.700000
3450, 623.900000
3480, 617.600000
3510, 612.700000
3540, 595.100000
3570, 607.000000
3600, 594.900000
3630, 588.300000
3660, 579.400000
3690, 571.800000
3720, 578.200000
3750, 556.700000
3780, 555.000000
3810, 549.000000
3840, 553.000000
3870, 537.500000
3900, 522.600000
3930, 536.100000
3960, 522.200000
3990, 506.800000
4020, 510.200000
4050, 516.600000
4080, 492.900000
4110, 492.400000
